Artist,Track,Popularity Score,Country,Track Duration,Key,Tempo (bpm),Time Signature,Loudness (dB),Valence,Genre 1,Genre 2,Genre 3,Genre 4,Genre 5,Genre 6,Genre 7,Genre 8,Genre 9,Genre 10
Myke Towers,LALA,86,Argentina,03:17,C# Major,91,4.0,-4.045,0.607,reggaeton, trap latino, urbano latino,,,,,,,
Myke Towers,LALA,86,Chile,03:17,C# Major,91,4.0,-4.045,0.607,reggaeton, trap latino, urbano latino,,,,,,,
Myke Towers,LALA,86,Colombia,03:17,C# Major,91,4.0,-4.045,0.607,reggaeton, trap latino, urbano latino,,,,,,,
Myke Towers,LALA,86,Dominican Republic,03:17,C# Major,91,4.0,-4.045,0.607,reggaeton, trap latino, urbano latino,,,,,,,
Myke Towers,LALA,86,Mexico,03:17,C# Major,91,4.0,-4.045,0.607,reggaeton, trap latino, urbano latino,,,,,,,
Myke Towers,LALA,86,Spain,03:17,C# Major,91,4.0,-4.045,0.607,reggaeton, trap latino, urbano latino,,,,,,,
Myke Towers,LALA,86,Peru,03:17,C# Major,91,4.0,-4.045,0.607,reggaeton, trap latino, urbano latino,,,,,,,
Myke Towers,LALA,86,Bolivia,03:17,C# Major,91,4.0,-4.045,0.607,reggaeton, trap latino, urbano latino,,,,,,,
Myke Towers,LALA,86,Paraguai,03:17,C# Major,91,4.0,-4.045,0.607,reggaeton, trap latino, urbano latino,,,,,,,
Myke Towers,LALA,86,Uruguay,03:17,C# Major,91,4.0,-4.045,0.607,reggaeton, trap latino, urbano latino,,,,,,,
Myke Towers,LALA,86,Equador,03:17,C# Major,91,4.0,-4.045,0.607,reggaeton, trap latino, urbano latino,,,,,,,
Myke Towers,LALA,86,Panama,03:17,C# Major,91,4.0,-4.045,0.607,reggaeton, trap latino, urbano latino,,,,,,,
Myke Towers,LALA,86,Costa Rica,03:17,C# Major,91,4.0,-4.045,0.607,reggaeton, trap latino, urbano latino,,,,,,,
Myke Towers,LALA,86,El Salvador,03:17,C# Major,91,4.0,-4.045,0.607,reggaeton, trap latino, urbano latino,,,,,,,
Myke Towers,LALA,86,Guatemala,03:17,C# Major,91,4.0,-4.045,0.607,reggaeton, trap latino, urbano latino,,,,,,,
Myke Towers,LALA,86,Honduras,03:17,C# Major,91,4.0,-4.045,0.607,reggaeton, trap latino, urbano latino,,,,,,,
Myke Towers,LALA,86,Nicaragua,03:17,C# Major,91,4.0,-4.045,0.607,reggaeton, trap latino, urbano latino,,,,,,,
LIT killah,Los del Espacio,75,Argentina,05:38,C Major,120,4.0,-3.598,0.634,argentine hip hop, trap argentino, trap latino, trap triste, urbano latino,,,,,
LIT killah,Los del Espacio,75,Chile,05:38,C Major,120,4.0,-3.598,0.634,argentine hip hop, trap argentino, trap latino, trap triste, urbano latino,,,,,
LIT killah,Los del Espacio,75,Spain,05:38,C Major,120,4.0,-3.598,0.634,argentine hip hop, trap argentino, trap latino, trap triste, urbano latino,,,,,
LIT killah,Los del Espacio,75,Peru,05:38,C Major,120,4.0,-3.598,0.634,argentine hip hop, trap argentino, trap latino, trap triste, urbano latino,,,,,
LIT killah,Los del Espacio,75,Bolivia,05:38,C Major,120,4.0,-3.598,0.634,argentine hip hop, trap argentino, trap latino, trap triste, urbano latino,,,,,
LIT killah,Los del Espacio,75,Paraguai,05:38,C Major,120,4.0,-3.598,0.634,argentine hip hop, trap argentino, trap latino, trap triste, urbano latino,,,,,
LIT killah,Los del Espacio,75,Uruguay,05:38,C Major,120,4.0,-3.598,0.634,argentine hip hop, trap argentino, trap latino, trap triste, urbano latino,,,,,
LIT killah,Los del Espacio,75,Equador,05:38,C Major,120,4.0,-3.598,0.634,argentine hip hop, trap argentino, trap latino, trap triste, urbano latino,,,,,
Maria Becerra,CORAZÓN VACÍO,82,Argentina,02:40,C# Major,98,4.0,-4.795,0.4,pop argentino,,,,,,,,,
Maria Becerra,CORAZÓN VACÍO,82,Chile,02:40,C# Major,98,4.0,-4.795,0.4,pop argentino,,,,,,,,,
Maria Becerra,CORAZÓN VACÍO,82,Spain,02:40,C# Major,98,4.0,-4.795,0.4,pop argentino,,,,,,,,,
Maria Becerra,CORAZÓN VACÍO,82,Peru,02:40,C# Major,98,4.0,-4.795,0.4,pop argentino,,,,,,,,,
Maria Becerra,CORAZÓN VACÍO,82,Bolivia,02:40,C# Major,98,4.0,-4.795,0.4,pop argentino,,,,,,,,,
Maria Becerra,CORAZÓN VACÍO,82,Paraguai,02:40,C# Major,98,4.0,-4.795,0.4,pop argentino,,,,,,,,,
Maria Becerra,CORAZÓN VACÍO,82,Uruguay,02:40,C# Major,98,4.0,-4.795,0.4,pop argentino,,,,,,,,,
Big One,Un Finde | CROSSOVER #2,76,Argentina,02:43,B Major,192,4.0,-8.199,0.848,trap argentino,,,,,,,,,
Big One,Un Finde | CROSSOVER #2,76,Chile,02:43,B Major,192,4.0,-8.199,0.848,trap argentino,,,,,,,,,
Big One,Un Finde | CROSSOVER #2,76,Peru,02:43,B Major,192,4.0,-8.199,0.848,trap argentino,,,,,,,,,
Big One,Un Finde | CROSSOVER #2,76,Bolivia,02:43,B Major,192,4.0,-8.199,0.848,trap argentino,,,,,,,,,
Big One,Un Finde | CROSSOVER #2,76,Paraguai,02:43,B Major,192,4.0,-8.199,0.848,trap argentino,,,,,,,,,
Big One,Un Finde | CROSSOVER #2,76,Uruguay,02:43,B Major,192,4.0,-8.199,0.848,trap argentino,,,,,,,,,
Tiago PZK,Me Enteré,79,Argentina,03:02,G# Major,140,3.0,-3.814,0.612,trap argentino, trap latino, urbano latino,,,,,,,
Tiago PZK,Me Enteré,79,Uruguay,03:02,G# Major,140,3.0,-3.814,0.612,trap argentino, trap latino, urbano latino,,,,,,,
Emilia,No_se_ve.mp3,78,Argentina,03:23,B Minor,131,4.0,-5.185,0.545,pop argentino,,,,,,,,,
Emilia,No_se_ve.mp3,78,Spain,03:23,B Minor,131,4.0,-5.185,0.545,pop argentino,,,,,,,,,
Emilia,No_se_ve.mp3,78,Uruguay,03:23,B Minor,131,4.0,-5.185,0.545,pop argentino,,,,,,,,,
Maria Becerra,ADIÓS,82,Argentina,02:40,A Minor,98,4.0,-4.184,0.514,pop argentino,,,,,,,,,
Maria Becerra,ADIÓS,82,Peru,02:40,A Minor,98,4.0,-4.184,0.514,pop argentino,,,,,,,,,
Maria Becerra,ADIÓS,82,Bolivia,02:40,A Minor,98,4.0,-4.184,0.514,pop argentino,,,,,,,,,
Maria Becerra,ADIÓS,82,Uruguay,02:40,A Minor,98,4.0,-4.184,0.514,pop argentino,,,,,,,,,
Yng Lvcas,La Bebe - Remix,77,Argentina,03:54,D Minor,169,4.0,-5.678,0.559,reggaeton,,,,,,,,,
Yng Lvcas,La Bebe - Remix,77,Chile,03:54,D Minor,169,4.0,-5.678,0.559,reggaeton,,,,,,,,,
Yng Lvcas,La Bebe - Remix,77,Colombia,03:54,D Minor,169,4.0,-5.678,0.559,reggaeton,,,,,,,,,
Yng Lvcas,La Bebe - Remix,77,Dominican Republic,03:54,D Minor,169,4.0,-5.678,0.559,reggaeton,,,,,,,,,
Yng Lvcas,La Bebe - Remix,77,Mexico,03:54,D Minor,169,4.0,-5.678,0.559,reggaeton,,,,,,,,,
Yng Lvcas,La Bebe - Remix,77,Spain,03:54,D Minor,169,4.0,-5.678,0.559,reggaeton,,,,,,,,,
Yng Lvcas,La Bebe - Remix,77,USA,03:54,D Minor,169,4.0,-5.678,0.559,reggaeton,,,,,,,,,
Yng Lvcas,La Bebe - Remix,77,Peru,03:54,D Minor,169,4.0,-5.678,0.559,reggaeton,,,,,,,,,
Yng Lvcas,La Bebe - Remix,77,Bolivia,03:54,D Minor,169,4.0,-5.678,0.559,reggaeton,,,,,,,,,
Yng Lvcas,La Bebe - Remix,77,Paraguai,03:54,D Minor,169,4.0,-5.678,0.559,reggaeton,,,,,,,,,
Yng Lvcas,La Bebe - Remix,77,Uruguay,03:54,D Minor,169,4.0,-5.678,0.559,reggaeton,,,,,,,,,
Yng Lvcas,La Bebe - Remix,77,Equador,03:54,D Minor,169,4.0,-5.678,0.559,reggaeton,,,,,,,,,
Yng Lvcas,La Bebe - Remix,77,Panama,03:54,D Minor,169,4.0,-5.678,0.559,reggaeton,,,,,,,,,
Yng Lvcas,La Bebe - Remix,77,Costa Rica,03:54,D Minor,169,4.0,-5.678,0.559,reggaeton,,,,,,,,,
Yng Lvcas,La Bebe - Remix,77,El Salvador,03:54,D Minor,169,4.0,-5.678,0.559,reggaeton,,,,,,,,,
Yng Lvcas,La Bebe - Remix,77,Guatemala,03:54,D Minor,169,4.0,-5.678,0.559,reggaeton,,,,,,,,,
Yng Lvcas,La Bebe - Remix,77,Honduras,03:54,D Minor,169,4.0,-5.678,0.559,reggaeton,,,,,,,,,
Yng Lvcas,La Bebe - Remix,77,Nicaragua,03:54,D Minor,169,4.0,-5.678,0.559,reggaeton,,,,,,,,,
Nicki Nicole,DISPARA ***,78,Argentina,02:23,C# Major,89,4.0,-2.978,0.698,argentine hip hop, r&b argentino, trap argentino, trap latino, urbano latino,,,,,
Nicki Nicole,DISPARA ***,78,Uruguay,02:23,C# Major,89,4.0,-2.978,0.698,argentine hip hop, r&b argentino, trap argentino, trap latino, urbano latino,,,,,
Big One,En La Intimidad | CROSSOVER #1,76,Argentina,02:52,C# Major,89,4.0,-4.991,0.64,trap argentino,,,,,,,,,
Big One,En La Intimidad | CROSSOVER #1,76,Bolivia,02:52,C# Major,89,4.0,-4.991,0.64,trap argentino,,,,,,,,,
Big One,En La Intimidad | CROSSOVER #1,76,Paraguai,02:52,C# Major,89,4.0,-4.991,0.64,trap argentino,,,,,,,,,
Big One,En La Intimidad | CROSSOVER #1,76,Uruguay,02:52,C# Major,89,4.0,-4.991,0.64,trap argentino,,,,,,,,,
Feid,Classy 101,90,Argentina,03:15,B Major,100,4.0,-4.79,0.672,colombian pop, pop reggaeton, reggaeton colombiano, trap latino, urbano latino,,,,,
Feid,Classy 101,90,Chile,03:15,B Major,100,4.0,-4.79,0.672,colombian pop, pop reggaeton, reggaeton colombiano, trap latino, urbano latino,,,,,
Feid,Classy 101,90,Colombia,03:15,B Major,100,4.0,-4.79,0.672,colombian pop, pop reggaeton, reggaeton colombiano, trap latino, urbano latino,,,,,
Feid,Classy 101,90,Dominican Republic,03:15,B Major,100,4.0,-4.79,0.672,colombian pop, pop reggaeton, reggaeton colombiano, trap latino, urbano latino,,,,,
Feid,Classy 101,90,Mexico,03:15,B Major,100,4.0,-4.79,0.672,colombian pop, pop reggaeton, reggaeton colombiano, trap latino, urbano latino,,,,,
Feid,Classy 101,90,Spain,03:15,B Major,100,4.0,-4.79,0.672,colombian pop, pop reggaeton, reggaeton colombiano, trap latino, urbano latino,,,,,
Feid,Classy 101,90,Peru,03:15,B Major,100,4.0,-4.79,0.672,colombian pop, pop reggaeton, reggaeton colombiano, trap latino, urbano latino,,,,,
Feid,Classy 101,90,Bolivia,03:15,B Major,100,4.0,-4.79,0.672,colombian pop, pop reggaeton, reggaeton colombiano, trap latino, urbano latino,,,,,
